Fullname	CCY	Last	+/-	%	Bid	Ask	Volume	Turnover	Updated (CET)
AcadeMedia	SEK	106.80	+1.20	+1.13%	106.60	106.80	20,207	2,151,145	09:26:12
Actic Group	SEK	32.65	-0.15	-0.45%	32.40	32.65	601	19,648	09:25:09
Active Biotech	SEK	0.0696	-0.0022	-3.06%	0.0685	0.0687	12,275,554	835,844	09:26:29
AddLife B	SEK	150.00	0.00	0.00%	149.80	150.30	7,538	1,131,506	09:25:36
Addnode Group B	SEK	48.55	+0.05	+0.10%	48.40	48.60	32,012	1,544,088	09:25:39
AFRY	SEK	116.90	+0.90	+0.77%	116.60	117.00	3,237	377,722	09:25:47
Aktia Pankki	EUR	11.46	+0.04	+0.35%	11.40	11.46	1,336	15,231	09:25:46
AL Sydbank	DKK	545.00	+1.00	+0.18%	544.50	545.50	3,265	1,782,608	09:25:59
Alimak Group	SEK	108.60	-1.00	-0.91%	108.40	109.00	1,862	202,861	09:21:00
ALK-Abelló B	DKK	259.20	+1.60	+0.62%	259.00	259.40	9,533	2,461,889	09:26:13
Alleima	SEK	83.05	+0.20	+0.24%	83.00	83.15	15,510	1,284,552	09:26:29
Alligator Bioscience	SEK	0.208	-0.0015	-0.71%	0.2045	0.2075	438,565	90,687	09:26:13
Alligo B	SEK	139.60	-1.60	-1.13%	139.60	140.40	265	37,043	09:17:23
Alm. Brand	DKK	16.08	+0.16	+1.00%	16.07	16.10	122,458	1,964,432	09:26:34
Alma Media Oyj	EUR	13.05	0.00	0.00%	12.95	13.10	786	10,250	09:23:42
Altra Fastigheter	SEK	71.35	-0.20	-0.27%	71.05	71.35	2,474	177,105	09:26:08
Alvotech	ISK	399.00							00:00:00
Amaroq Ltd.	ISK	164.00							00:00:00
Ambea	SEK	149.00	0.00	0.00%	148.70	149.00	4,284	637,472	09:26:16
Ambu	DKK	68.20	+1.85	+2.78%	68.20	68.30	101,592	6,866,955	09:26:35
Anora Group Oyj	EUR	3.305	+0.015	+0.45%	3.30	3.32	8,008	26,391	09:25:42
Apotea	SEK	77.05	-0.10	-0.12%	77.05	77.25	6,936	535,306	09:26:24
AQ Group	SEK	230.40	+1.40	+0.61%	230.00	230.60	2,131	490,210	09:26:10
Arctic Paper	SEK	15.25	-0.16	-1.03%	15.20	15.27	113	1,724	09:18:10
Arion banki	ISK	195.00							00:00:00
Arjo B	SEK	25.66	+0.34	+1.34%	25.64	25.68	36,345	926,760	09:24:56
Ascelia Pharma	SEK	2.895	+0.005	+0.17%	2.875	2.90	62,791	181,279	09:25:25
Asker Healthcare Group	SEK	81.60	+0.10	+0.12%	81.50	81.85	4,955	402,950	09:26:19
Asmodee Group B	SEK	133.70	+7.30	+5.77%	133.60	133.90	166,830	22,123,822	09:26:22
Aspo Oyj	EUR	5.90	-0.02	-0.33%	5.92	5.94	198	1,168	09:24:09
Atrium Ljungberg B	SEK	29.55	-0.10	-0.33%	29.45	29.55	2,879	85,135	09:25:23
Attendo	SEK	115.60	+0.50	+0.43%	115.30	115.70	30,768	3,558,737	09:25:13
Autoliv SDB	SEK	1,099.00	+10.00	+0.91%	1,097.00	1,101.00	907	995,473	09:26:03
Avanza Bank Holding	SEK	339.90	+1.30	+0.38%	339.50	340.00	4,965	1,685,104	09:25:48
Avarda Bank	SEK	162.00	-0.20	-0.12%	161.60	162.00	2,304	372,235	09:25:42
Axfood	SEK	276.20	+1.80	+0.65%	276.00	276.20	18,863	5,201,020	09:26:00
Bang & Olufsen	DKK	9.09	0.00	0.00%	9.09	9.18	1,214	11,035	09:11:24
Bavarian Nordic	DKK	197.50	-0.40	-0.20%	197.60	197.90	9,089	1,798,502	09:26:39
Beijer Alma B	SEK	304.50	-2.00	-0.65%	304.50	305.50	962	294,063	09:25:37
Bera	ISK	15.20							00:00:00
Bergman & Beving B	SEK	296.50	0.00	0.00%	294.50	297.00	484	142,891	09:24:16
Berner Industrier B	SEK	77.80	-0.20	-0.25%	77.60	77.80	1,084	84,634	09:25:21
Betsson B	SEK	89.60	-0.50	-0.55%	89.40	89.55	18,620	1,671,448	09:26:11
Better Collective	SEK	131.40	0.00	0.00%	130.40	131.40	46,541	6,067,019	09:26:01
BHG Group	SEK	24.04	-0.10	-0.41%	24.02	24.12	5,096	122,170	09:25:51
BICO Group	SEK	18.34	-0.38	-2.02%	18.32	18.48	33,994	627,711	09:26:12
Bilia A	SEK	136.50	+0.60	+0.44%	136.20	136.40	1,619	220,540	09:26:38
Billerud	SEK	63.85	-0.10	-0.15%	63.80	63.85	55,258	3,539,182	09:26:13
BioArctic B	SEK	316.60	-5.20	-1.61%	316.40	317.40	35,280	11,194,556	09:25:47
BioGaia B	SEK	135.20	+0.30	+0.22%	135.30	135.60	6,232	843,292	09:26:05
BioInvent International	SEK	25.65	-0.15	-0.58%	25.40	25.65	4,905	125,373	09:24:55
Bittium Oyj	EUR	40.45	+0.60	+1.50%	40.20	40.35	32,282	1,294,717	09:25:02
